,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
0,0,25.6298424017,3,,3.0,True,propose_addition,Addition,,0.0652005420015,0.0683300830024,0.0
1,1,25.6298424017,3,,2.73032248624,,propose_rotate,,,7.77500026743e-05,0.0686335419996,
2,2,27.7048217946,2,,2.48488695962,True,propose_addition,Addition,,0.070443208002,0.139139750001,0.0
3,3,29.5190499213,1,,2.26151424721,True,propose_addition,Addition,,0.0648052910001,0.204064375001,0.0
4,4,29.5190499213,1,,2.05822106737,False,propose_addition,Addition,,0.0699221670002,0.274098042002,0.0
5,5,29.5190499213,1,,1.87320242063,False,propose_addition,Addition,,0.483856708001,0.758067041999,0.0
6,6,-2.83690383474,1,,1.70481556344,True,propose_addition,Addition,,0.0910729999996,0.849452500002,0.0
7,7,-2.83690383474,1,,1.55156542259,False,propose_deletion,Deletion,,0.0505536669989,0.900122125,0.0
8,8,-2.83690383474,1,,1.41209132072,False,propose_addition,Addition,,0.176145334,1.07642225,2.0
9,9,-2.83690383474,1,,1.2851548952,False,propose_addition,Addition,,0.162200875002,1.2387345,1.0
10,10,-2.8360687124,1,,1.16962910289,True,propose_addition,Addition,,0.0749817920005,1.313833125,0.0
11,11,-2.8360687124,1,,1.06448821339,False,propose_relation_plane_change,RelationPlaneChange,,0.0473115000023,1.361337042,0.0
12,12,-2.8360687124,1,,0.968798701788,False,propose_deletion,Deletion,,0.0459779170014,1.407430042,0.0
13,13,-2.8360687124,1,,0.881710960044,False,propose_addition,Addition,,0.124518459001,1.5321625,1.0
14,14,-2.78169403149,1,,0.802451753525,True,propose_deletion,Deletion,,0.043522584001,1.575794292,0.0
15,15,-2.78169403149,1,,0.730317355591,False,propose_addition,Addition,,0.0741382920023,1.65005325,0.0
16,16,-2.78169403149,1,,0.664667299354,False,propose_addition,Addition,,0.0774507910028,1.727728208,0.0
17,17,-2.78169403149,1,,0.604918691098,False,propose_relation_plane_change,RelationPlaneChange,,0.033868333001,1.761704958,0.0
18,18,-2.78169403149,1,,0.550541034884,False,propose_addition,Addition,,0.0693654169991,1.831186417,0.0
19,19,-2.78169403149,1,,0.501051522381,False,propose_addition,Addition,,0.120137458001,1.951443917,1.0
20,20,-2.78169403149,1,,0.456010746108,False,propose_addition,Addition,,0.0716677500022,2.023340417,0.0
21,21,-2.78169403149,1,,0.415018798022,False,propose_relation_plane_change,RelationPlaneChange,,0.0326333749981,2.056111542,0.0
22,22,-2.78169403149,1,,0.377711718817,,propose_rotate,,,0.000189834001503,2.05641825,
23,23,-2.78169403149,1,,0.343758266401,False,propose_addition,Addition,,0.122052917002,2.178528375,1.0
24,24,-2.78169403149,1,,0.312856974862,False,propose_addition,Addition,,0.201973000003,2.380721167,3.0
25,25,-2.78169403149,1,,0.284733477814,False,propose_addition,Addition,,0.0715379169997,2.452379792,0.0
26,26,-2.78169403149,1,,0.259138072354,False,propose_addition,Addition,,0.0713917920002,2.52388975,0.0
27,27,-2.78169403149,1,,0.235843501996,False,propose_addition,Addition,,0.457110958003,2.981128958,0.0
28,28,-2.78169403149,1,,0.214642938912,False,propose_addition,Addition,,1.014347292,3.995711125,2.0
29,29,-2.78169403149,1,,0.195348147541,False,propose_addition,Addition,,0.102598374997,4.098443625,0.0
30,30,-2.78169403149,1,,0.177787813292,False,propose_addition,Addition,,0.0732098330009,4.17177825,0.0
31,31,-2.79840622623,1,,0.161806021471,True,propose_relation_plane_change,RelationPlaneChange,,0.0262325830008,4.1982325,0.0
32,32,-2.79840622623,1,,0.147260872943,False,propose_deletion,Deletion,,0.0439045420026,4.242340667,0.0
33,33,-2.79840622623,1,,0.134023224247,False,propose_addition,Addition,,0.139142,4.381599625,0.0
34,34,-2.79840622623,1,,0.121975540947,False,propose_resample,Resample,,0.0371843339999,4.418900375,0.0
