,name,ran,mem_at_finish,obj_count,instance_count
0,terrain,False,448659456,0,0
1,sky_lighting,True,448937984,0,0
2,solve_rooms,True,480919552,29,0
3,solve_large,True,576700416,35,0
4,pose_cameras,True,675987456,35,0
5,animate_cameras,False,675987456,35,0
6,populate_intermediate_pholders,True,724369408,38,0
7,solve_medium,True,584990720,48,0
8,solve_small,True,669188096,61,0
9,populate_assets,True,951353344,99,0
10,floating_objs,False,969654272,99,0
11,room_doors,True,909787136,120,0
12,room_windows,True,923942912,134,0
13,room_stairs,True,923942912,134,0
14,skirting_floor,True,1243971584,135,0
15,skirting_ceiling,True,802963456,136,0
16,room_pillars,False,803438592,156,0
17,room_walls,True,809631744,156,0
18,room_floors,True,815366144,156,0
19,room_ceilings,True,817463296,156,0
20,lights_off,False,818610176,156,0
21,invisible_room_ceilings,False,818626560,156,0
22,overhead_cam,False,818626560,156,0
23,hide_other_rooms,False,818626560,156,0
24,nature_backdrop,,818626560,156,0
