,name,ran,mem_at_finish,obj_count,instance_count
0,terrain,False,417710080,0,0
1,sky_lighting,True,417906688,0,0
2,solve_rooms,True,444039168,29,0
3,solve_large,True,519782400,33,0
4,pose_cameras,True,583434240,33,0
5,animate_cameras,False,583434240,33,0
6,populate_intermediate_pholders,True,662716416,34,0
7,solve_medium,True,575438848,44,0
8,solve_small,True,453410816,48,0
9,populate_assets,True,764280832,69,0
10,floating_objs,False,769998848,69,0
11,room_doors,True,749174784,90,0
12,room_windows,True,750288896,104,0
13,room_stairs,True,750288896,104,0
14,skirting_floor,True,1156481024,105,0
15,skirting_ceiling,True,582598656,106,0
16,room_pillars,False,584826880,126,0
17,room_walls,True,625000448,126,0
18,room_floors,True,631619584,126,0
19,room_ceilings,True,634503168,126,0
20,lights_off,False,636567552,126,0
21,invisible_room_ceilings,False,636567552,126,0
22,overhead_cam,False,636583936,126,0
23,hide_other_rooms,False,636583936,126,0
24,nature_backdrop,,636616704,126,0
